NUMTRIALS, BLOCKSIZE, megaTrialsPerSecond, probability,,,,,,
1024,8,9.8826,21.58,,,,,,
1024,32,8.0767,21.09,,,,,,
1024,128,9.0498,20.51,,,,,,
4096,8,35.8142,22.39,,,,,,
4096,32,40.5963,23.05,,,,8,32,128
4096,128,44.062,22.49,,,1024,9.8826,8.0767,9.0498
16384,8,140.1204,22.73,,,4096,35.8142,40.5963,44.062
16384,32,171.4094,22.92,,,16384,140.1204,171.4094,120.0751
16384,128,120.0751,22.43,,,65536,347.2952,573.8302,680.851
65536,8,347.2952,22.52,,,262144,770.7216,1094.7481,1739.6476
65536,32,573.8302,22.61,,,1048576,977.8574,2571.0474,3529.8935
65536,128,680.851,22.29,,,2097152,1035.2911,3204.2243,4679.1375
262144,8,770.7216,22.35,,,4194304,1098.8783,3817.5569,6451.0288
262144,32,1094.7481,22.53,,,,,,
262144,128,1739.6476,22.42,,,,,,
1048576,8,977.8574,22.57,,,,,,
1048576,32,2571.0474,22.54,,,,,,
1048576,128,3529.8935,22.49,,,,,,
2097152,8,1035.2911,22.45,,,,,,
2097152,32,3204.2243,22.47,,,,,,
2097152,128,4679.1375,22.51,,,,,,
4194304,8,1098.8783,22.49,,,,,,
4194304,32,3817.5569,22.48,,,,,,
4194304,128,6451.0288,22.49,,,,,,
